City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,chinde,26.8212,87.7095,23.93,91,100,1.37,NP,1723071137
330,arraial do cabo,-22.9661,-42.0278,22.98,83,0,4.12,BR,1723071139
331,bardai,11.65,7.2333,21.84,94,88,2.42,NG,1723071140
332,abu al matamir,30.9102,30.1744,26.27,69,0,2.87,EG,1723071141
333,enewetak,11.3474,162.3373,28.72,75,58,4.94,MH,1723071143
334,batang,-6.4846,110.7083,24.85,79,4,2.53,ID,1723071144
335,benghazi,32.1167,20.0667,27.58,68,0,6.52,LY,1723071145
336,alaghsas,17.0187,8.0168,27.43,60,95,5.31,NE,1723071146
337,popondetta,-8.7537,148.2534,23.17,97,100,0.84,PG,1723071147
338,al musayyib,32.7833,44.2825,34.78,17,0,4.66,IQ,1723071148
339,temecula,33.4936,-117.1484,33.68,48,0,6.17,US,1723070956
340,ola,59.5833,151.2833,13.23,82,42,2.57,RU,1723071151
341,ringkobing,56.0901,8.244,16.99,77,20,3.6,DK,1723071152
342,tabas,33.5959,56.9244,32.32,10,0,1.05,IR,1723071153
343,tougan,13.0667,-3.0667,25.9,83,86,5.39,BF,1723071154
344,salekhard,66.53,66.6019,6.49,85,4,1.74,RU,1723071155
345,northam,51.0333,-4.2167,15.9,90,100,4.79,GB,1723071156
346,vadso,70.0744,29.7487,15.49,58,86,2.06,NO,1723071157
347,bam,29.106,58.357,33.47,6,3,4.79,IR,1723071159
348,sisimiut,66.9395,-53.6735,6.75,85,66,6.09,GL,1723071160
349,la passe,45.5549,-0.8967,18.88,71,100,4.39,FR,1723071162
350,tambopata,-12.7333,-69.1833,24.94,94,40,5.14,PE,1723071163
351,lompoc,34.6391,-120.4579,28.66,64,0,5.66,US,1723071165
352,uglegorsk,49.0833,142.0333,20.53,90,99,0.9,RU,1723071166
353,edmundston,47.3737,-68.3251,19.63,42,0,6.69,CA,1723070881
354,green river,41.5286,-109.4662,34.43,18,27,3.13,US,1723071168
355,shenkursk,62.1091,42.896,12.39,86,86,1.78,RU,1723071169
356,ilabaya,-17.4208,-70.5133,16.88,52,1,0.54,PE,1723071170
357,port augusta,-32.5,137.7667,12.55,56,100,7.64,AU,1723071171
358,shahrak,34.1074,64.3052,14.86,27,0,1.8,AF,1723071173
359,chibougamau,49.9168,-74.3659,17.79,63,75,1.54,CA,1723071174
360,palmer,42.1584,-72.3287,21.79,71,75,0.0,US,1723071175
361,thunder bay,48.4001,-89.3168,22.95,53,75,7.2,CA,1723071176
362,nemuro,43.3236,145.575,17.09,100,100,2.25,JP,1723071177
